question_id,question,answer,keyword_coverage,source_match,tokens,strategy
q1,How much sugar should I eat per day?...,"You should limit your intake of free sugars to less than 10% of your total daily energy intake, which is about 50 grams ...",0.75,True,388,Strategy 1 (Basic)
q2,Are saturated fats unhealthy?...,"Yes, saturated fats are considered unhealthy, especially when consumed in excess, as they can contribute to negative hea...",0.5,True,285,Strategy 1 (Basic)
q3,How much salt is recommended daily?...,The recommended daily salt intake for adults is less than 5 grams per day (2 grams per day sodium)....,0.6666666666666666,True,375,Strategy 1 (Basic)
q4,What is a balanced meal?...,"A balanced meal includes an appropriate mix of macronutrients (carbohydrates, proteins, and fats) and micronutrients (vi...",0.25,True,284,Strategy 1 (Basic)
q5,Why are fruits and vegetables important?...,"Fruits and vegetables are important because they are rich in essential vitamins, minerals, and antioxidants that support...",0.75,True,360,Strategy 1 (Basic)
q6,Should I drink milk?...,"Yes, drinking milk can be beneficial as it provides essential nutrients like calcium and vitamin D, which are important ...",0.3333333333333333,False,339,Strategy 1 (Basic)
q7,Was ist eine ausgewogene Ernährung?...,"Eine ausgewogene Ernährung umfasst eine vielfältige Auswahl an Lebensmitteln, die reich an Obst, Gemüse, Vollkorngetreid...",0.5,True,439,Strategy 1 (Basic)
q8,Are eggs healthy?...,"Yes, eggs can be a healthy part of a balanced diet. They are a good source of protein, vitamins, and minerals. However, ...",1.0,True,378,Strategy 1 (Basic)
q1,How much sugar should I eat per day?...,"The consumption of free sugars should be limited to less than 10% of total daily energy intake, which is approximately 5...",0.75,True,513,Strategy 2 (Structured XML)
q2,Are saturated fats unhealthy?...,"Yes, saturated fats are considered unhealthy and should be limited in a diet. They can be replaced by carbohydrates from...",0.5,True,453,Strategy 2 (Structured XML)
q3,How much salt is recommended daily?...,"In adults, the recommended daily salt intake should be limited to less than 5 grams per day, which is equivalent to 2 gr...",0.6666666666666666,True,549,Strategy 2 (Structured XML)
q4,What is a balanced meal?...,"A balanced meal is one where total energy intake is aligned with energy expenditure, ensuring that the meal meets the bo...",0.0,True,423,Strategy 2 (Structured XML)
q5,Why are fruits and vegetables important?...,Fruits and vegetables are important because they provide essential vitamins and minerals that support overall health. Th...,0.5,True,515,Strategy 2 (Structured XML)
q6,Should I drink milk?...,I don't have that information in my sources....,0.0,False,438,Strategy 2 (Structured XML)
q7,Was ist eine ausgewogene Ernährung?...,"Eine ausgewogene Ernährung umfasst eine überwiegende Zufuhr von Obst und Gemüse, Vollkorngetreide, Hülsenfrüchten, Nüsse...",0.5,True,572,Strategy 2 (Structured XML)
q8,Are eggs healthy?...,I don't have that information in my sources....,0.0,True,487,Strategy 2 (Structured XML)
